Comment,Like Count,Reply Count
â€‹â€‹â€‹â€‹Go to https://piavpn.com/Sunshine to get 83% off Private Internet Access with 4 months free! ğŸš€,0,0
"How much is Jagmeet tied to this? He can't set foot in India, or he'll be arrested. He and trudeau are propping each other up for a reason.",0,0
"I am so sorry India. We the people are not behind  our current government. We have asked Trudeau repeatedly to leave. Soon, we all hope.",0,0
The Butcher of Canada AKA Justin Trudeau is a global embarrassment,0,0
"As A Indian Living in India let me tell you few facts..
1. The Sikhs in Canada the Khalistani movement is to separate a State of India Which is Punjab and Make it a Different country 
2.The Khalistani people were behind the A Flight Bomb blast in 1980s
3.The Sikhs living in India are peaceful and proud to be Indians
4.The Indian Government since decades have sent various Notices that these are designated Terrorist living in Canada to send them to India but Trudeau Goverment never cooperated with India
5.Majority of Khalistani in Canada have Different Gangs and involved in various Drugs and Gang Wars Criminal Activities 
6. As A Indian The Canadian Citizen I know are unaware of the actual matter so no need to Apologise 
Peace'",0,0
Canadians are with you India!  We want Trudeau GONE.,0,0
Jag  keeps saying that a Canadian was killed by the Indian Gov. What was this Canadian doing medaling in another countries affairs?,0,0
Honestly I understand why India is only bashing liedeau so is the entire world,0,0
Trudeau makes me SICK,0,0
India should file a criminal case against Trudeau and then seek his extradition to India to face the charges in an Indian court. That will put Trudeau in his right place.,0,0
At least India gives canadians the real news,0,0
In canada leaking china information is criminal but leaking India information is strategic plan ğŸ˜‚ğŸ˜‚ğŸ˜‚,0,0
"South african here ğŸ‡¿ğŸ‡¦. Listening to the fact that school children are being taught about sexuality and some have undergone gender change surgery is absolutely disgusting ğŸ¤¢ and disturbing to me. If that were to happen here in RSA, the teacher and or doctor will be lynched in public. No mentally sane nation would even let something like this become a mainstream talking point of politics. 

About the India issue, Nijjar was already wanted by interpol themselves with 2 red notices out for him also khalistanis are largely responsible for the rise of drug and gang violence in Canada. India warned the Canadian government about this 2 years ago yet the Trudeau government did nothing. The Khalistanis have been confirmed by both the Brazilian and Indian governments to have an involvement in the South American drug cartels. 

So hypothetically if India did kill Nijjar, shouldn't Canadians be thankful to India as they've done more to combat crime in Canada than the actual Canadian government?.

As far as I see it, Trudeau is picking a fight with India to garner khalistanis vote bank and to distract from other problems like high house prices, food inflation and rising crime and violence in Canada also the accusations of China interfering in Canadian elections is yet to be resolved.",0,0
"Hey Freeland, can we cancel Trudeau? He is more expensive than Disney Plus!",0,0
Trudeau= Canadian Pappu ğŸƒ ğŸ¤¡,0,0
Why can't kids just be kids? I don't understand why sexuality and gender labels are something our children and youth struggle with today. This wasn't an issue when I was a kid. I feel sorry for our kids today.,0,0
"Why is it ONLY adults with NO children, trying to tell us how to raise yours.",0,0
Love our amazing Premier Danielle Smith.â¤ï¸,0,0
"Wow Not only do Canadians can't stand him, JT is burning bridges everywhere goes.",0,0
"Iâ€™m a former liberal voter but what a total disaster JT has been. Weâ€™re sorry India. Please put JT in his place. 
Suspended democracy, deemed unethical, total embarrassment for Canada to say the least.",0,0
